"FIPS","Admin2","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Combined_Key","Incidence_Rate","Case.Fatality_Ratio"
NA,"","","Afghanistan","2020-11-04 05:25:09",33.93911,67.709953,41633,1541,34355,5737,"Afghanistan",106.94778901572,3.70139072370475
NA,"","","Albania","2020-11-04 05:25:09",41.1533,20.1683,21904,532,11473,9899,"Albania",761.136979637223,2.42878013148283
NA,"","","Algeria","2020-11-04 05:25:09",28.0339,1.6596,58979,1980,40577,16422,"Algeria",134.498511244077,3.35712711304023
NA,"","","Andorra","2020-11-04 05:25:09",42.5063,1.5218,4910,75,3627,1208,"Andorra",6354.75312237106,1.52749490835031
NA,"","","Angola","2020-11-04 05:25:09",-11.2027,17.8739,11577,291,5230,6056,"Angola",35.2245651985799,2.51360456076704
NA,"","","Antigua and Barbuda","2020-11-04 05:25:09",17.0608,-61.7964,128,3,117,8,"Antigua and Barbuda",130.708275467691,2.34375
NA,"","","Argentina","2020-11-04 05:25:09",-38.4161,-63.6167,1195276,32052,1009278,153946,"Argentina",2644.66301796294,2.68155639366975
NA,"","","Armenia","2020-11-04 05:25:09",40.0691,45.0382,94776,1413,57599,35764,"Armenia",3198.3974265954,1.49088376804254
NA,"","Australian Capital Territory","Australia","2020-11-04 05:25:09",-35.4735,149.0124,114,3,111,0,"Australian Capital Territory, Australia",26.6292922214436,2.63157894736842
NA,"","New South Wales","Australia","2020-11-04 05:25:09",-33.8688,151.2093,4443,53,0,4390,"New South Wales, Australia",54.730229120473,1.19288768849876
NA,"","Northern Territory","Australia","2020-11-04 05:25:09",-12.4634,130.8456,38,0,33,5,"Northern Territory, Australia",15.4723127035831,0
NA,"","Queensland","Australia","2020-11-04 05:25:09",-27.4698,153.0251,1177,6,1165,6,"Queensland, Australia",23.0085035675887,0.509770603228547
NA,"","South Australia","Australia","2020-11-04 05:25:09",-34.9285,138.6007,504,4,487,13,"South Australia, Australia",28.6934244235696,0.793650793650794
NA,"","Tasmania","Australia","2020-11-04 05:25:09",-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.9505135387488,5.65217391304348
NA,"","Victoria","Australia","2020-11-04 05:25:09",-37.8136,144.9631,20345,819,19496,30,"Victoria, Australia",306.867373565212,4.02555910543131
NA,"","Western Australia","Australia","2020-11-04 05:25:09",-31.9505,115.8605,771,9,748,14,"Western Australia, Australia",29.3089029118832,1.16731517509728
