"county","state","fips","prop_higher_education","mean_household_income","private_insurance","no_insurance","total_population","males","age_85","white_pct","black_pct","pctile"
"Autauga","AL",1001,28.3,75614,70.6,8,55639,48.6,1.7,75.8,19.5,68
"Baldwin","AL",1003,31.9,83626,70.4,9.5,218289,48.5,1.9,85.4,8.8,82
"Barbour","AL",1005,11.6,51557,52.9,10.7,25026,52.6,1.9,46.3,47.7,7
"Bibb","AL",1007,11.3,61655,61.5,9.1,22374,53.7,1.5,76.6,22.5,27
"Blount","AL",1009,13.3,66360,66.7,10,57755,49.7,2.2,94,1.4,42
"Bullock","AL",1011,10.3,50664,49.7,10.5,10173,54.8,1.7,26.2,68.6,6
"Butler","AL",1013,16,62399,65.3,10.1,19726,45.9,2.4,51.6,44.6,29
"Calhoun","AL",1015,18.9,65276,67.1,10,114324,48,1.7,73.3,21.2,38
"Chambers","AL",1017,14.4,56122,62.6,9.2,33427,47.7,1.8,56.9,40,14
"Cherokee","AL",1019,12.9,61278,66,9.5,26035,49.5,2.2,92.1,4.8,26
"Chilton","AL",1021,13.6,66434,64.6,11.7,44147,48.7,1.5,82.1,9.7,42
"Choctaw","AL",1023,13.5,53709,59.3,10.1,12755,47.3,3,56.9,42.3,10
"Clarke","AL",1025,13.8,59803,60.3,9.6,23866,47.6,2.6,52.5,45.7,21
"Clay","AL",1027,11.8,62634,65,8.5,13285,48.2,2.6,83.3,15.3,30
"Cleburne","AL",1029,16,60254,66.7,12.2,14952,48.6,3.3,93.3,2.6,22
"Coffee","AL",1031,21.7,70669,69,10.6,52238,49.4,1.8,74.7,17,55
"Colbert","AL",1033,17.4,60264,69.5,6.8,54957,48.1,1.9,78.8,16.2,22
"Conecuh","AL",1035,13.8,49693,57.1,10.4,12219,48.7,2.2,50.5,48.1,5
"Coosa","AL",1037,11.6,58927,66,6.9,10696,51.4,1.9,65.9,32.3,19
"Covington","AL",1039,15.6,59947,64.7,10.7,37096,48.6,2.9,84.3,12.7,22
"Crenshaw","AL",1041,18.5,64930,66.3,8.1,13826,47.7,1.6,71.5,23.6,37
"Cullman","AL",1043,15.4,62592,65.1,11.6,83345,49.3,1.7,93.9,1.1,30
"Dale","AL",1045,18.2,59235,65,10.8,49293,49.2,1.6,71.6,20.7,20
"Dallas","AL",1047,16.6,46306,50.3,10.2,38184,46.1,1.5,27.2,71.5,2
"DeKalb","AL",1049,14,58198,60.2,13.7,71430,49.4,1.7,84.8,1.5,18
"Elmore","AL",1051,25.8,78932,74.8,7.3,81526,48.3,1.4,74.9,21.1,74
"Escambia","AL",1053,12.5,48165,61.5,11.8,36775,50.8,2.1,61.9,32,4
"Etowah","AL",1055,17.7,61229,64.9,11.5,102721,48.2,1.8,79.1,16.1,25
"Fayette","AL",1057,12.3,55489,64.4,8.1,16406,49.1,2.3,84.6,12.2,13
"Franklin","AL",1059,15,55229,58.3,11.7,31587,49.5,2,82.4,3.9,13
"Geneva","AL",1061,13.1,54632,57.2,11.7,26383,48.5,2.5,86,10.2,11
"Greene","AL",1063,10.1,38224,48.2,16.6,8221,47.4,2.2,17.4,78.9,1
"Hale","AL",1065,15.6,50342,57.1,8.3,14754,47.5,2.5,38.4,59.1,5
"Henry","AL",1067,18.9,64672,66.6,7.8,17123,48.2,2.6,70,26.6,36
"Houston","AL",1069,22.1,69728,61.9,11.4,105319,47.9,2,68.2,27.2,52
"Jackson","AL",1071,16.2,57723,64.2,10.1,51765,48.9,1.8,91.2,3.7,17
"Jefferson","AL",1073,34.1,81248,67.6,9,658615,47.3,2,51.4,42.9,78
"Lamar","AL",1075,11.3,53482,62.4,5.6,13854,49.4,2.3,87.4,11,9
"Lauderdale","AL",1077,25.1,66737,72,9,92870,48,2.3,85.9,10.2,43
"Lawrence","AL",1079,15.8,61591,66.7,9.2,32969,47.9,2.1,78.2,10.7,27
"Lee","AL",1081,36.4,74869,76,7.8,163461,49.2,1.4,69.7,22.7,66
"Limestone","AL",1083,24.9,79507,73.7,8.6,96921,49.9,1.5,78.9,13.5,76
