"fips","county","state","cases","deaths"
1001,"Autauga","AL",2210,31
1003,"Baldwin","AL",7054,74
1005,"Barbour","AL",1077,9
1007,"Bibb","AL",900,15
1009,"Blount","AL",2204,25
1011,"Bullock","AL",658,17
1013,"Butler","AL",1032,41
1015,"Calhoun","AL",4996,65
1017,"Chambers","AL",1449,47
1019,"Cherokee","AL",819,15
1021,"Chilton","AL",1976,33
1023,"Choctaw","AL",397,12
1025,"Clarke","AL",1414,17
1027,"Clay","AL",793,13
1029,"Cleburne","AL",605,9
1031,"Coffee","AL",1909,11
1033,"Colbert","AL",2357,32
1035,"Conecuh","AL",590,13
1037,"Coosa","AL",234,3
1039,"Covington","AL",1901,30
1041,"Crenshaw","AL",629,30
1043,"Cullman","AL",2947,25
1045,"Dale","AL",1972,52
1047,"Dallas","AL",1942,27
1049,"DeKalb","AL",3768,30
1051,"Elmore","AL",3362,59
1053,"Escambia","AL",1799,31
1055,"Etowah","AL",4704,54
1057,"Fayette","AL",627,15
1059,"Franklin","AL",2197,32
1061,"Geneva","AL",993,7
1063,"Greene","AL",353,17
1065,"Hale","AL",815,30
1067,"Henry","AL",765,6
1069,"Houston","AL",4382,35
1071,"Jackson","AL",2374,19
1073,"Jefferson","AL",24866,388
1075,"Lamar","AL",538,7
1077,"Lauderdale","AL",2820,43
1079,"Lawrence","AL",971,33
1081,"Lee","AL",6770,65
1083,"Limestone","AL",3207,34
1085,"Lowndes","AL",734,29
1087,"Macon","AL",587,21
1089,"Madison","AL",9929,101
1091,"Marengo","AL",1072,24
1093,"Marion","AL",1172,31
1095,"Marshall","AL",4671,53
1097,"Mobile","AL",17487,323
1099,"Monroe","AL",676,10
1101,"Montgomery","AL",10868,211
1103,"Morgan","AL",4664,37
80001,"Out of AL","AL",0,0
1105,"Perry","AL",608,6
1107,"Pickens","AL",958,18
1109,"Pike","AL",1406,14
1111,"Randolph","AL",877,16
1113,"Russell","AL",2004,3
1117,"Shelby","AL",7950,70
1115,"St. Clair","AL",3353,46
1119,"Sumter","AL",489,21
1121,"Talladega","AL",2863,38
1123,"Tallapoosa","AL",1424,87
1125,"Tuscaloosa","AL",10919,145
90001,"Unassigned","AL",0,0
1127,"Walker","AL",3050,95
1129,"Washington","AL",786,12
1131,"Wilcox","AL",580,12
1133,"Winston","AL",1001,13
2013,"Aleutians East","AK",17,0
2016,"Aleutians West","AK",101,0
2020,"Anchorage","AK",8922,51
2050,"Bethel","AK",524,1
2060,"Bristol Bay","AK",0,0
2164,"Bristol Bay plus Lake and Peninsula","AK",115,0
2068,"Denali","AK",32,0
2070,"Dillingham","AK",63,0
2090,"Fairbanks North Star","AK",2394,16
2100,"Haines","AK",14,0
2110,"Juneau","AK",614,3
2122,"Kenai Peninsula","AK",1159,4
2130,"Ketchikan Gateway","AK",92,0
2150,"Kodiak Island","AK",124,0
2158,"Kusilvak","AK",278,0
2170,"Matanuska-Susitna","AK",1632,3
2180,"Nome","AK",142,0
2185,"North Slope","AK",286,0
2188,"Northwest Arctic","AK",273,0
2195,"Petersburg","AK",20,1
2198,"Prince of Wales-Hyder","AK",35,1
2220,"Sitka","AK",83,0
2230,"Skagway","AK",7,0
2240,"Southeast Fairbanks","AK",92,1
90002,"Unassigned","AK",71,0
2261,"Valdez-Cordova","AK",0,0
2275,"Wrangell","AK",19,0
2282,"Yakutat","AK",37,0
2290,"Yukon-Koyukuk","AK",124,2
4001,"Apache","AZ",4042,174
4003,"Cochise","AZ",2256,75
4005,"Coconino","AZ",5470,149
4007,"Gila","AZ",2034,72
4009,"Graham","AZ",1307,31
4011,"Greenlee","AZ",104,2
4012,"La Paz","AZ",630,18
4013,"Maricopa","AZ",161154,3632
4015,"Mohave","AZ",4538,235
4017,"Navajo","AZ",6579,243
80004,"Out of AZ","AZ",0,0
4019,"Pima","AZ",29141,646
4021,"Pinal","AZ",12312,228
4023,"Santa Cruz","AZ",3078,65
90004,"Unassigned","AZ",0,0
4025,"Yavapai","AZ",3102,91
4027,"Yuma","AZ",14071,359
5001,"Arkansas","AR",734,20
5003,"Ashley","AR",580,13
5005,"Baxter","AR",801,11
5007,"Benton","AR",8747,127
5009,"Boone","AR",1114,37
5011,"Bradley","AR",375,8
5013,"Calhoun","AR",60,0
5015,"Carroll","AR",1056,19
5017,"Chicot","AR",1057,23
5019,"Clark","AR",543,6
5021,"Clay","AR",524,15
5023,"Cleburne","AR",506,17
5025,"Cleveland","AR",262,13
5027,"Columbia","AR",764,22
5029,"Conway","AR",360,4
5031,"Craighead","AR",5005,50
5033,"Crawford","AR",2224,30
5035,"Crittenden","AR",2561,53
5037,"Cross","AR",635,22
5039,"Dallas","AR",188,6
5041,"Desha","AR",435,7
5043,"Drew","AR",444,7
5045,"Faulkner","AR",3582,41
5047,"Franklin","AR",585,2
5049,"Fulton","AR",351,10
5051,"Garland","AR",2666,73
5053,"Grant","AR",386,4
5055,"Greene","AR",1714,20
5057,"Hempstead","AR",605,5
5059,"Hot Spring","AR",2302,37
5061,"Howard","AR",628,14
5063,"Independence","AR",1541,60
5065,"Izard","AR",685,2
5067,"Jackson","AR",930,6
5069,"Jefferson","AR",4329,102
5071,"Johnson","AR",1065,9
5073,"Lafayette","AR",207,3
5075,"Lawrence","AR",902,22
5077,"Lee","AR",1115,18
5079,"Lincoln","AR",2339,18
5081,"Little River","AR",491,37
5083,"Logan","AR",617,5
5085,"Lonoke","AR",1898,34
5087,"Madison","AR",450,6
5089,"Marion","AR",183,2
5091,"Miller","AR",1663,22
5093,"Mississippi","AR",2448,69
5095,"Monroe","AR",235,2
5097,"Montgomery","AR",191,8
5099,"Nevada","AR",340,14
5101,"Newton","AR",327,21
5103,"Ouachita","AR",407,9
5105,"Perry","AR",156,2
5107,"Phillips","AR",792,16
5109,"Pike","AR",278,1
5111,"Poinsett","AR",1225,27
5113,"Polk","AR",385,5
5115,"Pope","AR",2858,37
5117,"Prairie","AR",252,5
5119,"Pulaski","AR",12591,222
5121,"Randolph","AR",700,26
5125,"Saline","AR",3110,36
5127,"Scott","AR",235,2
5129,"Searcy","AR",219,1
5131,"Sebastian","AR",5166,103
5133,"Sevier","AR",1436,16
5135,"Sharp","AR",394,10
5123,"St. Francis","AR",1813,10
5137,"Stone","AR",410,22
90005,"Unassigned","AR",1738,0
5139,"Union","AR",1199,52
5141,"Van Buren","AR",217,3
5143,"Washington","AR",11995,155
5145,"White","AR",1677,35
5147,"Woodruff","AR",144,0
5149,"Yell","AR",1372,32
6001,"Alameda","CA",24293,418
6003,"Alpine","CA",18,0
6005,"Amador","CA",361,16
6007,"Butte","CA",3289,57
6009,"Calaveras","CA",287,19
6011,"Colusa","CA",573,6
6013,"Contra Costa","CA",19514,250
6015,"Del Norte","CA",187,2
6017,"El Dorado","CA",1459,4
6019,"Fresno","CA",32414,457
6021,"Glenn","CA",704,3
6023,"Humboldt","CA",570,8
6025,"Imperial","CA",13066,335
6027,"Inyo","CA",249,14
6029,"Kern","CA",34676,425
6031,"Kings","CA",8843,83
6033,"Lake","CA",732,16
6035,"Lassen","CA",808,1
6037,"Los Angeles","CA",311844,7097
6039,"Madera","CA",5114,54
6041,"Marin","CA",7168,131
6043,"Mariposa","CA",81,2
6045,"Mendocino","CA",1089,22
6047,"Merced","CA",9758,153
6049,"Modoc","CA",56,0
6051,"Mono","CA",218,1
6053,"Monterey","CA",11789,94
6055,"Napa","CA",2140,15
6057,"Nevada","CA",689,9
6059,"Orange","CA",64196,1484
6061,"Placer","CA",4537,60
6063,"Plumas","CA",86,0
6065,"Riverside","CA",69934,1325
6067,"Sacramento","CA",26881,510
6069,"San Benito","CA",1462,15
6071,"San Bernardino","CA",65869,1159
6073,"San Diego","CA",59568,901
6075,"San Francisco","CA",12642,146
6077,"San Joaquin","CA",22389,500
6079,"San Luis Obispo","CA",4414,32
6081,"San Mateo","CA",11417,162
6083,"Santa Barbara","CA",10134,132
6085,"Santa Clara","CA",25434,393
6087,"Santa Cruz","CA",3015,25
6089,"Shasta","CA",2316,41
6091,"Sierra","CA",6,0
6093,"Siskiyou","CA",230,0
6095,"Solano","CA",7707,85
6097,"Sonoma","CA",9940,142
6099,"Stanislaus","CA",18960,390
6101,"Sutter","CA",1916,12
6103,"Tehama","CA",990,6
6105,"Trinity","CA",49,0
6107,"Tulare","CA",18414,297
6109,"Tuolumne","CA",308,5
90006,"Unassigned","CA",0,0
6111,"Ventura","CA",15235,155
6113,"Yolo","CA",3353,61
6115,"Yuba","CA",1300,10
8001,"Adams","CO",19216,314
8003,"Alamosa","CO",421,10
8005,"Arapahoe","CO",17300,428
8007,"Archuleta","CO",82,0
8009,"Baca","CO",65,0
8011,"Bent","CO",27,1
8013,"Boulder","CO",7104,107
8014,"Broomfield","CO",1342,48
8015,"Chaffee","CO",470,18
8017,"Cheyenne","CO",18,0
8019,"Clear Creek","CO",115,1
8021,"Conejos","CO",105,1
8023,"Costilla","CO",52,1
8025,"Crowley","CO",253,1
8027,"Custer","CO",50,0
8029,"Delta","CO",289,3
8031,"Denver","CO",24190,511
8033,"Dolores","CO",4,0
8035,"Douglas","CO",5893,99
8037,"Eagle","CO",1657,11
8041,"El Paso","CO",14759,239
8039,"Elbert","CO",331,5
8043,"Fremont","CO",1124,6
8045,"Garfield","CO",1434,5
8047,"Gilpin","CO",50,0
8049,"Grand","CO",209,2
8051,"Gunnison","CO",340,5
8053,"Hinsdale","CO",6,0
8055,"Huerfano","CO",46,3
8057,"Jackson","CO",12,0
8059,"Jefferson","CO",11703,363
8061,"Kiowa","CO",6,0
8063,"Kit Carson","CO",191,7
8067,"La Plata","CO",553,5
8065,"Lake","CO",174,0
8069,"Larimer","CO",5581,65
8071,"Las Animas","CO",139,1
8073,"Lincoln","CO",54,0
8075,"Logan","CO",1564,27
8077,"Mesa","CO",2614,53
8079,"Mineral","CO",21,0
8081,"Moffat","CO",107,1
8083,"Montezuma","CO",308,6
8085,"Montrose","CO",593,16
8087,"Morgan","CO",1046,50
8089,"Otero","CO",240,8
8091,"Ouray","CO",65,2
80008,"Out of CO","CO",0,0
8093,"Park","CO",136,3
8095,"Phillips","CO",89,3
8097,"Pitkin","CO",339,2
8099,"Prowers","CO",295,12
8101,"Pueblo","CO",3445,78
8103,"Rio Blanco","CO",46,0
8105,"Rio Grande","CO",150,4
8107,"Routt","CO",285,9
8109,"Saguache","CO",170,2
8111,"San Juan","CO",15,0
8113,"San Miguel","CO",122,0
8115,"Sedgwick","CO",63,2
8117,"Summit","CO",963,3
8119,"Teller","CO",329,4
90008,"Unassigned","CO",21,0
8121,"Washington","CO",140,4
8123,"Weld","CO",8049,173
8125,"Yuma","CO",259,1
9001,"Fairfield","CT",25365,1442
9003,"Hartford","CT",19043,1491
9005,"Litchfield","CT",2430,145
9007,"Middlesex","CT",2129,197
9009,"New Haven","CT",18244,1130
9011,"New London","CT",4041,143
9013,"Tolland","CT",1849,68
90009,"Unassigned","CT",185,0
9015,"Windham","CT",1557,19
10001,"Kent","DE",3629,123
10003,"New Castle","DE",13451,373
10005,"Sussex","DE",8255,248
90010,"Unassigned","DE",91,0
88888,"",NA,49,0
11001,"District of Columbia","DC",17524,647
12001,"Alachua","FL",10842,78
12003,"Baker","FL",1819,24
12005,"Bay","FL",6979,135
12007,"Bradford","FL",1246,15
12009,"Brevard","FL",12034,378
12011,"Broward","FL",87959,1532
12013,"Calhoun","FL",734,14
12015,"Charlotte","FL",3811,161
12017,"Citrus","FL",3344,136
12019,"Clay","FL",6291,127
12021,"Collier","FL",14839,256
12023,"Columbia","FL",4327,79
12027,"DeSoto","FL",1694,29
12029,"Dixie","FL",914,11
12031,"Duval","FL",35956,531
12033,"Escambia","FL",13804,273
12035,"Flagler","FL",2205,41
12037,"Franklin","FL",786,4
12039,"Gadsden","FL",3075,56
12041,"Gilchrist","FL",616,19
12043,"Glades","FL",614,6
12045,"Gulf","FL",960,15
12047,"Hamilton","FL",913,10
12049,"Hardee","FL",1630,17
12051,"Hendry","FL",2262,44
12053,"Hernando","FL",3846,177
12055,"Highlands","FL",2758,119
12057,"Hillsborough","FL",49150,822
12059,"Holmes","FL",946,13
12061,"Indian River","FL",3980,125
12063,"Jackson","FL",3202,83
12065,"Jefferson","FL",683,11
12067,"Lafayette","FL",1283,16
12069,"Lake","FL",8851,228
12071,"Lee","FL",23980,523
12073,"Leon","FL",12551,118
12075,"Levy","FL",1167,12
12077,"Liberty","FL",542,11
12079,"Madison","FL",1086,25
12081,"Manatee","FL",13753,330
12083,"Marion","FL",11048,351
12085,"Martin","FL",5455,170
12086,"Miami-Dade","FL",188636,3675
12087,"Monroe","FL",2401,25
12089,"Nassau","FL",2517,52
12091,"Okaloosa","FL",6657,130
12093,"Okeechobee","FL",1769,41
12095,"Orange","FL",47346,561
12097,"Osceola","FL",14564,212
12099,"Palm Beach","FL",53511,1599
12101,"Pasco","FL",11242,244
12103,"Pinellas","FL",26477,828
12105,"Polk","FL",23525,633
12107,"Putnam","FL",2426,50
12113,"Santa Rosa","FL",6073,88
12115,"Sarasota","FL",10024,345
12117,"Seminole","FL",10576,245
12109,"St. Johns","FL",6782,85
12111,"St. Lucie","FL",9265,336
12119,"Sumter","FL",2991,86
12121,"Suwannee","FL",3034,78
12123,"Taylor","FL",1508,18
90012,"Unassigned","FL",1899,0
12125,"Union","FL",1159,45
12127,"Volusia","FL",13186,324
12129,"Wakulla","FL",1350,11
12131,"Walton","FL",2586,30
12133,"Washington","FL",1261,24
13001,"Appling","GA",1265,38
13003,"Atkinson","GA",543,7
13005,"Bacon","GA",712,18
13007,"Baker","GA",108,6
13009,"Baldwin","GA",2435,66
13011,"Banks","GA",597,9
13013,"Barrow","GA",2864,52
13015,"Bartow","GA",4074,100
13017,"Ben Hill","GA",940,37
13019,"Berrien","GA",599,24
13021,"Bibb","GA",6914,212
13023,"Bleckley","GA",645,28
13025,"Brantley","GA",685,14
13027,"Brooks","GA",601,29
13029,"Bryan","GA",1349,17
13031,"Bulloch","GA",3520,46
13033,"Burke","GA",1097,14
13035,"Butts","GA",882,45
13037,"Calhoun","GA",295,10
13039,"Camden","GA",1505,20
13043,"Candler","GA",578,27
13045,"Carroll","GA",4347,85
13047,"Catoosa","GA",1539,23
13049,"Charlton","GA",731,15
13051,"Chatham","GA",9686,193
13053,"Chattahoochee","GA",1836,2
13055,"Chattooga","GA",1039,31
13057,"Cherokee","GA",8093,105
13059,"Clarke","GA",6950,50
13061,"Clay","GA",132,3
13063,"Clayton","GA",9016,184
13065,"Clinch","GA",501,13
13067,"Cobb","GA",24621,475
13069,"Coffee","GA",2557,67
13071,"Colquitt","GA",2475,45
13073,"Columbia","GA",5110,69
13075,"Cook","GA",682,17
13077,"Coweta","GA",4060,67
13079,"Crawford","GA",216,6
13081,"Crisp","GA",847,28
13083,"Dade","GA",391,6
13085,"Dawson","GA",959,11
13089,"DeKalb","GA",22822,422
13087,"Decatur","GA",1447,39
13091,"Dodge","GA",952,29
13093,"Dooly","GA",432,19
13095,"Dougherty","GA",3503,195
13097,"Douglas","GA",4639,78
13099,"Early","GA",601,35
13101,"Echols","GA",258,2
13103,"Effingham","GA",1905,30
13105,"Elbert","GA",878,15
13107,"Emanuel","GA",1326,40
13109,"Evans","GA",523,12
13111,"Fannin","GA",866,34
13113,"Fayette","GA",2565,58
13115,"Floyd","GA",4408,62
13117,"Forsyth","GA",5329,54
13119,"Franklin","GA",1000,19
13121,"Fulton","GA",33878,656
13123,"Gilmer","GA",1115,26
13125,"Glascock","GA",63,2
13127,"Glynn","GA",3886,112
13129,"Gordon","GA",2689,49
13131,"Grady","GA",926,28
13133,"Greene","GA",649,27
13135,"Gwinnett","GA",33465,472
13137,"Habersham","GA",1932,80
13139,"Hall","GA",11088,188
13141,"Hancock","GA",428,45
13143,"Haralson","GA",874,13
13145,"Harris","GA",898,25
13147,"Hart","GA",629,22
13149,"Heard","GA",294,6
13151,"Henry","GA",7068,121
13153,"Houston","GA",4087,97
13155,"Irwin","GA",380,8
13157,"Jackson","GA",2641,46
13159,"Jasper","GA",374,6
13161,"Jeff Davis","GA",916,29
13163,"Jefferson","GA",891,35
13165,"Jenkins","GA",483,32
13167,"Johnson","GA",495,25
13169,"Jones","GA",694,17
13171,"Lamar","GA",535,22
13173,"Lanier","GA",361,10
13175,"Laurens","GA",2372,97
13177,"Lee","GA",839,31
13179,"Liberty","GA",1317,25
13181,"Lincoln","GA",260,8
13183,"Long","GA",298,4
13185,"Lowndes","GA",5345,118
13187,"Lumpkin","GA",1087,18
13193,"Macon","GA",291,11
13195,"Madison","GA",912,16
13197,"Marion","GA",230,9
13189,"McDuffie","GA",805,16
13191,"McIntosh","GA",330,9
13199,"Meriwether","GA",710,16
13201,"Miller","GA",361,3
13205,"Mitchell","GA",906,47
13207,"Monroe","GA",889,56
13209,"Montgomery","GA",403,9
13211,"Morgan","GA",706,7
13213,"Murray","GA",1137,10
13215,"Muscogee","GA",6616,179
13217,"Newton","GA",3226,98
13219,"Oconee","GA",1152,31
13221,"Oglethorpe","GA",475,14
80013,"Out of GA","GA",15995,219
13223,"Paulding","GA",3839,64
13225,"Peach","GA",898,26
13227,"Pickens","GA",876,11
13229,"Pierce","GA",1119,26
13231,"Pike","GA",628,15
13233,"Polk","GA",1933,29
13235,"Pulaski","GA",404,23
13237,"Putnam","GA",895,27
13239,"Quitman","GA",58,1
13241,"Rabun","GA",442,11
13243,"Randolph","GA",358,30
13245,"Richmond","GA",8603,199
13247,"Rockdale","GA",2316,43
13249,"Schley","GA",145,2
13251,"Screven","GA",487,12
13253,"Seminole","GA",424,11
13255,"Spalding","GA",1941,69
13257,"Stephens","GA",1314,42
13259,"Stewart","GA",615,17
13261,"Sumter","GA",1152,70
13263,"Talbot","GA",201,8
13265,"Taliaferro","GA",33,0
13267,"Tattnall","GA",1014,20
13269,"Taylor","GA",299,12
13271,"Telfair","GA",611,27
13273,"Terrell","GA",380,33
13275,"Thomas","GA",1757,75
13277,"Tift","GA",2140,72
13279,"Toombs","GA",1579,62
13281,"Towns","GA",468,13
13283,"Treutlen","GA",356,12
13285,"Troup","GA",3524,112
13287,"Turner","GA",385,25
13289,"Twiggs","GA",232,10
90013,"Unassigned","GA",931,7
13291,"Union","GA",2362,29
13293,"Upson","GA",1307,77
13295,"Walker","GA",1996,47
13297,"Walton","GA",2710,73
13299,"Ware","GA",2382,72
13301,"Warren","GA",192,8
13303,"Washington","GA",882,18
13305,"Wayne","GA",1417,35
13307,"Webster","GA",55,2
13309,"Wheeler","GA",415,19
13311,"White","GA",1043,25
13313,"Whitfield","GA",5814,64
13315,"Wilcox","GA",325,27
13317,"Wilkes","GA",349,7
13319,"Wilkinson","GA",391,17
13321,"Worth","GA",678,36
99999,"",NA,103,3
66,"",NA,4812,80
15001,"Hawaii","HI",1311,31
15003,"Honolulu","HI",13321,170
15007,"Kauai","HI",67,0
15009,"Maui","HI",530,17
80015,"Out of HI","HI",89,1
90015,"Unassigned","HI",0,0
16001,"Ada","ID",17828,184
16003,"Adams","ID",71,2
16005,"Bannock","ID",2834,14
16007,"Bear Lake","ID",81,1
16009,"Benewah","ID",190,3
16011,"Bingham","ID",1717,24
16013,"Blaine","ID",930,7
16015,"Boise","ID",90,2
16017,"Bonner","ID",541,2
16019,"Bonneville","ID",4890,39
16021,"Boundary","ID",219,1
16023,"Butte","ID",105,0
16025,"Camas","ID",45,0
16027,"Canyon","ID",10603,114
16029,"Caribou","ID",313,4
16031,"Cassia","ID",1520,9
16033,"Clark","ID",40,0
16035,"Clearwater","ID",167,0
16037,"Custer","ID",100,1
16039,"Elmore","ID",596,4
16041,"Franklin","ID",395,2
16043,"Fremont","ID",524,5
16045,"Gem","ID",463,6
16047,"Gooding","ID",669,9
16049,"Idaho","ID",428,1
16051,"Jefferson","ID",1055,4
16053,"Jerome","ID",1254,9
16055,"Kootenai","ID",4662,53
16057,"Latah","ID",1040,1
16059,"Lemhi","ID",313,1
16061,"Lewis","ID",97,3
16063,"Lincoln","ID",247,5
16065,"Madison","ID",2811,5
16067,"Minidoka","ID",1283,9
16069,"Nez Perce","ID",1073,24
16071,"Oneida","ID",70,0
16073,"Owyhee","ID",411,5
16075,"Payette","ID",1181,11
16077,"Power","ID",386,2
16079,"Shoshone","ID",296,20
16081,"Teton","ID",308,2
16083,"Twin Falls","ID",4546,50
90016,"Unassigned","ID",1,0
16085,"Valley","ID",136,1
16087,"Washington","ID",495,8
17001,"Adams","IL",2346,26
17003,"Alexander","IL",156,2
17005,"Bond","IL",566,9
17007,"Boone","IL",2232,26
17009,"Brown","IL",133,0
17011,"Bureau","IL",1055,19
17013,"Calhoun","IL",86,0
17015,"Carroll","IL",559,14
17017,"Cass","IL",478,11
17019,"Champaign","IL",6999,29
17021,"Christian","IL",942,31
17023,"Clark","IL",338,18
17025,"Clay","IL",363,15
17027,"Clinton","IL",1966,32
17029,"Coles","IL",2229,42
17031,"Cook","IL",198184,5517
17033,"Crawford","IL",689,6
17035,"Cumberland","IL",330,6
17039,"De Witt","IL",312,6
17037,"DeKalb","IL",2895,43
17041,"Douglas","IL",853,9
17043,"DuPage","IL",26512,626
17045,"Edgar","IL",185,11
17047,"Edwards","IL",119,0
17049,"Effingham","IL",1385,5
17051,"Fayette","IL",762,24
17053,"Ford","IL",228,16
17055,"Franklin","IL",1141,11
17057,"Fulton","IL",691,2
17059,"Gallatin","IL",122,2
17061,"Greene","IL",356,17
17063,"Grundy","IL",1175,8
17065,"Hamilton","IL",155,2
17067,"Hancock","IL",395,4
17069,"Hardin","IL",61,0
17071,"Henderson","IL",145,0
17073,"Henry","IL",914,9
17075,"Iroquois","IL",625,20
17077,"Jackson","IL",1698,26
17079,"Jasper","IL",301,10
