"state","county","fips","candidate","party","votes","total_votes"
"AL","Autauga",1001,"HILLARY CLINTON","Democrat",5936,24973
"AL","Autauga",1001,"DONALD TRUMP","Republican",18172,24973
"AL","Autauga",1001,"OTHER","Other",865,24973
"AL","Baldwin",1003,"HILLARY CLINTON","Democrat",18458,95215
"AL","Baldwin",1003,"DONALD TRUMP","Republican",72883,95215
"AL","Baldwin",1003,"OTHER","Other",3874,95215
"AL","Barbour",1005,"HILLARY CLINTON","Democrat",4871,10469
"AL","Barbour",1005,"DONALD TRUMP","Republican",5454,10469
"AL","Barbour",1005,"OTHER","Other",144,10469
"AL","Bibb",1007,"HILLARY CLINTON","Democrat",1874,8819
"AL","Bibb",1007,"DONALD TRUMP","Republican",6738,8819
"AL","Bibb",1007,"OTHER","Other",207,8819
"AL","Blount",1009,"HILLARY CLINTON","Democrat",2156,25588
"AL","Blount",1009,"DONALD TRUMP","Republican",22859,25588
"AL","Blount",1009,"OTHER","Other",573,25588
"AL","Bullock",1011,"HILLARY CLINTON","Democrat",3530,4710
"AL","Bullock",1011,"DONALD TRUMP","Republican",1140,4710
"AL","Bullock",1011,"OTHER","Other",40,4710
"AL","Butler",1013,"HILLARY CLINTON","Democrat",3726,8732
"AL","Butler",1013,"DONALD TRUMP","Republican",4901,8732
"AL","Butler",1013,"OTHER","Other",105,8732
"AL","Calhoun",1015,"HILLARY CLINTON","Democrat",13242,47864
"AL","Calhoun",1015,"DONALD TRUMP","Republican",32865,47864
"AL","Calhoun",1015,"OTHER","Other",1757,47864
"AL","Chambers",1017,"HILLARY CLINTON","Democrat",5784,13900
"AL","Chambers",1017,"DONALD TRUMP","Republican",7843,13900
"AL","Chambers",1017,"OTHER","Other",273,13900
"AL","Cherokee",1019,"HILLARY CLINTON","Democrat",1547,10733
"AL","Cherokee",1019,"DONALD TRUMP","Republican",8953,10733
"AL","Cherokee",1019,"OTHER","Other",233,10733
"AL","Chilton",1021,"HILLARY CLINTON","Democrat",2911,18369
"AL","Chilton",1021,"DONALD TRUMP","Republican",15081,18369
"AL","Chilton",1021,"OTHER","Other",377,18369
"AL","Choctaw",1023,"HILLARY CLINTON","Democrat",3109,7292
"AL","Choctaw",1023,"DONALD TRUMP","Republican",4106,7292
"AL","Choctaw",1023,"OTHER","Other",77,7292
"AL","Clarke",1025,"HILLARY CLINTON","Democrat",5749,13031
"AL","Clarke",1025,"DONALD TRUMP","Republican",7140,13031
"AL","Clarke",1025,"OTHER","Other",142,13031
"AL","Clay",1027,"HILLARY CLINTON","Democrat",1237,6624
"AL","Clay",1027,"DONALD TRUMP","Republican",5245,6624
"AL","Clay",1027,"OTHER","Other",142,6624
"AL","Cleburne",1029,"HILLARY CLINTON","Democrat",684,6593
"AL","Cleburne",1029,"DONALD TRUMP","Republican",5764,6593
"AL","Cleburne",1029,"OTHER","Other",145,6593
"AL","Coffee",1031,"HILLARY CLINTON","Democrat",4221,20767
"AL","Coffee",1031,"DONALD TRUMP","Republican",15875,20767
"AL","Coffee",1031,"OTHER","Other",671,20767
"AL","Colbert",1033,"HILLARY CLINTON","Democrat",7312,24915
"AL","Colbert",1033,"DONALD TRUMP","Republican",16746,24915
"AL","Colbert",1033,"OTHER","Other",857,24915
"AL","Conecuh",1035,"HILLARY CLINTON","Democrat",3080,6585
"AL","Conecuh",1035,"DONALD TRUMP","Republican",3420,6585
"AL","Conecuh",1035,"OTHER","Other",85,6585
"AL","Coosa",1037,"HILLARY CLINTON","Democrat",1782,5252
