"state","county","fips","prop_higher_education","mean_household_income","private_insurance","no_insurance","total_population","males","age_85","white_pct","black_pct","pctile","total_votes","vote_demo","vote_rep","vote_green","vote_lib","vote_other","pct_vote_demo","pct_vote_rep","rep_won20","winning_party","pct_vote_demo16","pct_vote_rep16","rep_won16","demo_won16","cases","deaths","infrate","mortrate","dpc","change_vote_rep"
"AL","Autauga",1001,28.3,75614,70.6,8,55639,48.6,1.7,75.8,19.5,68,27770,7503,19838,0,0,429,0.270183651422398,0.714368023046453,1,"Republican",0.237696712449445,0.727665879149481,1,0,2210,31,3972.0340049246,55.7163140962275,1402.7149321267,-0.0132978561030285
"AL","Baldwin",1003,31.9,83626,70.4,9.5,218289,48.5,1.9,85.4,8.8,82,109679,24578,83544,0,0,1557,0.22409029987509,0.761713728243328,1,"Republican",0.193856010082445,0.765457123352413,1,0,7054,74,3231.49586099162,33.9000132851403,1049.0501842926,-0.00374339510908472
"AL","Barbour",1005,11.6,51557,52.9,10.7,25026,52.6,1.9,46.3,47.7,7,10518,4816,5622,0,0,80,0.457881726563986,0.534512264689104,1,"Republican",0.465278441111854,0.520966663482663,1,0,1077,9,4303.52433469192,35.962598897147,835.654596100279,0.0135456012064413
"AL","Bibb",1007,11.3,61655,61.5,9.1,22374,53.7,1.5,76.6,22.5,27,9595,1986,7525,0,0,84,0.206982803543512,0.784262636789995,1,"Republican",0.212495747817213,0.764032203197641,1,0,900,15,4022.52614641995,67.0421024403325,1666.66666666667,0.0202304335923533
"AL","Blount",1009,13.3,66360,66.7,10,57755,49.7,2.2,94,1.4,42,27588,2640,24711,0,0,237,0.0956937799043062,0.895715528490648,1,"Republican",0.0842582460528373,0.893348444583398,1,0,2204,25,3816.11981646611,43.2862955588261,1134.30127041742,0.0023670839072496
"AL","Bullock",1011,10.3,50664,49.7,10.5,10173,54.8,1.7,26.2,68.6,6,4613,3446,1146,0,0,21,0.747019293301539,0.248428354649902,0,"Democrat",0.749469214437367,0.24203821656051,0,1,658,17,6468.10183819915,167.109014056817,2583.58662613982,0.0063901380893929
"AL","Butler",1013,16,62399,65.3,10.1,19726,45.9,2.4,51.6,44.6,29,9488,3965,5458,0,0,65,0.41789629005059,0.575252951096121,1,"Republican",0.426706367384333,0.561268896014659,1,0,1032,41,5231.67393288046,207.847510899321,3972.86821705426,0.0139840550814627
"AL","Calhoun",1015,18.9,65276,67.1,10,114324,48,1.7,73.3,21.2,38,50983,15216,35101,0,0,666,0.298452425318243,0.688484396759704,1,"Republican",0.276658866789236,0.686632960053485,1,0,4996,65,4370.03603792729,56.8559532556594,1301.04083266613,0.00185143670621934
"AL","Chambers",1017,14.4,56122,62.6,9.2,33427,47.7,1.8,56.9,40,14,15284,6365,8753,0,0,166,0.416448573671814,0.572690395184507,1,"Republican",0.416115107913669,0.564244604316547,1,0,1449,47,4334.81915816556,140.604900230353,3243.61628709455,0.00844579086795993
"AL","Cherokee",1019,12.9,61278,66,9.5,26035,49.5,2.2,92.1,4.8,26,12301,1624,10583,0,0,94,0.132021786846598,0.860336558003414,1,"Republican",0.144134911022081,0.834156340259014,1,0,819,15,3145.76531592088,57.6147493758402,1831.50183150183,0.0261802177444
"AL","Chilton",1021,13.6,66434,64.6,11.7,44147,48.7,1.5,82.1,9.7,42,19310,3073,16085,0,0,152,0.159140341791818,0.832988089073019,1,"Republican",0.158473515161413,0.821002776416789,1,0,1976,33,4475.95533105307,74.7502661562507,1670.04048582996,0.0119853126562299
"AL","Choctaw",1023,13.5,53709,59.3,10.1,12755,47.3,3,56.9,42.3,10,7464,3127,4296,0,0,41,0.418944265809218,0.57556270096463,1,"Republican",0.426357652221613,0.563082830499177,1,0,397,12,3112.5049000392,94.0807526460212,3022.67002518892,0.0124798704654531
"AL","Clarke",1025,13.8,59803,60.3,9.6,23866,47.6,2.6,52.5,45.7,21,13135,5755,7324,0,0,56,0.438142367719833,0.557594213932242,1,"Republican",0.441178727649451,0.547924180799632,1,0,1414,17,5924.74650129892,71.2310399731836,1202.2630834512,0.00967003313261039
"AL","Clay",1027,11.8,62634,65,8.5,13285,48.2,2.6,83.3,15.3,30,6930,1267,5601,0,0,62,0.182828282828283,0.808225108225108,1,"Republican",0.186745169082126,0.791817632850242,1,0,793,13,5969.13812570568,97.8547233722243,1639.34426229508,0.0164074753748666
"AL","Cleburne",1029,16,60254,66.7,12.2,14952,48.6,3.3,93.3,2.6,22,7227,675,6484,0,0,68,0.0933997509339975,0.897191088971911,1,"Republican",0.103746397694524,0.874260579402396,1,0,605,9,4046.28143392188,60.1926163723916,1487.60330578512,0.0229305095695145
